Wall time,Step,Value
1644606165.739724,0,5.677244663238525
1644609014.284647,1,4.655105113983154
1644611977.2395613,2,4.10700798034668
1644614910.0334966,3,3.751434803009033
1644617892.9174087,4,3.5592293739318848
1644620896.0108612,5,3.4063432216644287
1644623728.8608892,6,3.364408493041992
1644626402.2360232,7,3.191786766052246
1644629055.5594952,8,3.1309354305267334
1644631751.3011785,9,3.015758514404297
1644634348.5258818,10,2.995014190673828
1644636994.254274,11,2.959683895111084
1644639621.7582314,12,2.921783924102783
1644642244.6305733,13,2.9153335094451904
1644644864.6889875,14,2.9512290954589844
1644647528.5120623,15,2.9260365962982178
1644650138.758748,16,2.832096815109253
1644652773.2130954,17,2.8763256072998047
1644655558.0636692,18,2.802927255630493
1644658192.4256725,19,2.825061082839966
1644660824.1465871,20,2.788684606552124
1644663429.0930285,21,2.797434091567993
1644666124.0729191,22,2.800368547439575
1644668834.044422,23,2.717541217803955
1644671452.514258,24,2.730482578277588
1644674045.920417,25,2.7666079998016357
1644676623.742954,26,2.7394251823425293
1644679193.842327,27,2.740440607070923
1644681782.4254506,28,2.6895105838775635
1644684431.557937,29,2.7563297748565674
1644686992.9522243,30,2.3166134357452393
1644689534.040164,31,2.2675046920776367
1644692088.9050448,32,2.2408792972564697
1644694640.2529514,33,2.228121280670166
1644697200.3853898,34,2.2228734493255615
1644699765.9960628,35,2.2010486125946045
1644702329.3530195,36,2.182587146759033
1644704883.3418772,37,2.1912033557891846
1644707447.759286,38,2.1689693927764893
1644710133.3894012,39,2.164942979812622
1644712782.669744,40,2.1912739276885986
1644715351.1448557,41,2.1583964824676514
1644717946.8298128,42,2.151582956314087
1644720572.134639,43,2.152169704437256
1644723153.96361,44,2.1485276222229004
1644725864.785331,45,2.1440863609313965
1644728451.4032185,46,2.1448614597320557
1644731014.7616765,47,2.143022298812866
1644733568.1930277,48,2.1268727779388428
1644736136.8947701,49,2.1198670864105225
1644738708.7114098,50,2.124598979949951
1644741855.811442,51,2.126457691192627
1644744679.812153,52,2.1170449256896973
1644747234.6481256,53,2.0978951454162598
1644749806.2734225,54,2.102421283721924
1644752380.1267936,55,2.0976274013519287
1644754992.4652395,56,2.1029443740844727
1644757571.7173283,57,2.12420916557312
1644916792.8166952,58,2.09364652633667
1644918999.972794,59,2.0824978351593018
1644921207.5878956,60,2.092421293258667
1644923444.6144967,61,2.11061692237854
1644925725.3299975,62,2.0767438411712646
1644928019.7941926,63,2.0711252689361572
1644930247.6222343,64,2.0925357341766357
1644932450.6301897,65,2.086061716079712
1644934705.8760905,66,2.0784642696380615
1644936927.6909924,67,2.0831871032714844
1644939117.5203722,68,2.0910274982452393
1644941349.1765933,69,2.0855348110198975
1644943571.7379239,70,2.0621416568756104
1644945811.9965084,71,2.077423572540283
1644948084.0316005,72,2.085958957672119
1644950331.2262,73,2.059034824371338
1644952549.449132,74,2.0699949264526367
1644954776.3002076,75,2.081683397293091
1644956992.9480786,76,2.0595109462738037
1644959202.6285021,77,2.0607876777648926
1644961399.7734222,78,2.0786571502685547
1644963627.2825444,79,2.055229663848877
1644965841.6387098,80,2.0693347454071045
1644968052.3718772,81,2.0380594730377197
1644970258.487546,82,2.051551342010498
1644972542.1767416,83,2.0642058849334717
1644974736.669999,84,2.043081521987915
1644977012.6713083,85,2.049346923828125
1644979218.197979,86,2.05018949508667
1644981413.1217318,87,2.0518765449523926
1644983650.1603281,88,1.9701565504074097
1644985879.624393,89,1.9665071964263916
1644988083.1974144,90,1.9584720134735107
1644990268.0353553,91,1.9523804187774658
1644992460.3540885,92,1.95108163356781
1644994698.5595326,93,1.950923204421997
1644996905.0071511,94,1.9488797187805176
1644999105.717228,95,1.945806860923767
1645001500.752947,96,1.946274995803833
1645003779.0396185,97,1.9483370780944824
1645005979.7432353,98,1.9452362060546875
1645008207.0202806,99,1.942737102508545
