Wall time,Step,Value
1644606165.7403295,0,3.551914930343628
1644609014.2852554,1,11.915885925292969
1644611977.2401276,2,18.556133270263672
1644614910.0341523,3,23.381528854370117
1644617892.9180486,4,26.22876739501953
1644620896.0113823,5,28.88556671142578
1644623728.8613791,6,29.529598236083984
1644626402.236431,7,32.132423400878906
1644629055.5598996,8,32.94032287597656
1644631751.3015404,9,35.03364181518555
1644634348.5261035,10,35.7542724609375
1644636994.2547898,11,36.00670623779297
1644639621.758756,12,36.67206573486328
1644642244.6310806,13,36.973777770996094
1644644864.6892047,14,36.45227813720703
1644647528.5126228,15,36.748592376708984
1644650138.7589831,16,38.48830032348633
1644652773.2133412,17,37.39132308959961
1644655558.0641124,18,38.64412307739258
1644658192.4260786,19,38.429054260253906
1644660824.1471827,20,39.14768981933594
1644663429.0935664,21,38.973182678222656
1644666124.0733104,22,39.051082611083984
1644668834.0450158,23,40.36722183227539
1644671452.5148075,24,40.06084060668945
1644674045.920779,25,39.633872985839844
1644676623.7433155,26,39.93158721923828
1644679193.8426838,27,39.97287368774414
1644681782.4260657,28,40.67619705200195
1644684431.5584357,29,39.97357177734375
1644686992.952651,30,47.85530471801758
1644689534.040506,31,48.735107421875
1644692088.90541,32,49.378517150878906
1644694640.2533195,33,49.566986083984375
1644697200.3857353,34,49.78742218017578
1644699765.9966354,35,50.05386734008789
1644702329.353364,36,50.543373107910156
1644704883.3422487,37,50.23234558105469
1644707447.759676,38,50.48545455932617
1644710133.3897846,39,50.81711196899414
1644712782.67008,40,50.33889389038086
1644715351.1451907,41,50.964942932128906
1644717946.8301463,42,50.78913879394531
1644720572.1350317,43,50.982276916503906
1644723153.963964,44,51.115474700927734
1644725864.785701,45,50.98694610595703
1644728451.403809,46,51.27934265136719
1644731014.7618964,47,51.19077682495117
1644733568.1933668,48,51.478450775146484
1644736136.8951356,49,51.67828369140625
1644738708.7117593,50,51.471805572509766
1644741855.8118205,51,51.31528091430664
1644744679.8124971,52,51.70558166503906
1644747234.648496,53,52.062564849853516
1644749806.2739468,54,51.906063079833984
1644752380.127126,55,52.07590103149414
1644754992.4656138,56,51.93800735473633
1644757571.7176955,57,51.52043533325195
1644916792.817056,58,52.15047836303711
1644918999.9731185,59,52.24636459350586
1644921207.5882246,60,51.95464324951172
1644923444.6148534,61,51.62166213989258
1644925725.3303585,62,52.54143142700195
1644928019.7945743,63,52.5887336730957
1644930247.6225922,64,52.155799865722656
1644932450.6305563,65,52.35163879394531
1644934705.8764577,66,52.32296371459961
1644936927.6913743,67,52.40221405029297
1644939117.5207353,68,52.287025451660156
1644941349.1769605,69,52.21776580810547
1644943571.738272,70,52.79985809326172
1644945811.9968722,71,52.42618942260742
1644948084.0319667,72,52.315696716308594
1644950331.2265654,73,52.87443542480469
1644952549.4494905,74,52.51615524291992
1644954776.3005686,75,52.430885314941406
1644956992.9484148,76,52.783199310302734
1644959202.628855,77,52.835147857666016
1644961399.7739425,78,52.38822555541992
1644963627.2828848,79,53.01230239868164
1644965841.6390774,80,52.672630310058594
1644968052.3722339,81,53.21745681762695
1644970258.487918,82,53.227420806884766
1644972542.1770942,83,52.813167572021484
1644974736.6703563,84,53.27337646484375
1644977012.671676,85,53.16947555541992
1644979218.198342,86,53.16548156738281
1644981413.1221125,87,53.015647888183594
1644983650.1606717,88,54.67003631591797
1644985879.6247623,89,54.83587646484375
1644988083.1977525,90,54.99304962158203
1644990268.0357275,91,55.190185546875
1644992460.3544433,92,55.07964324951172
1644994698.5599055,93,55.21351623535156
1644996905.0074997,94,55.18022155761719
1644999105.7175877,95,55.350032806396484
1645001500.7533133,96,55.08498764038086
1645003779.0399547,97,55.130245208740234
1645005979.7436125,98,55.29543685913086
1645008207.0206475,99,55.2921142578125
