Use GPU: 0 for training
=> creating model 'resnet50'
=> loading checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar'
=> loaded checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar' (epoch 15)
Use GPU: 2 for training
=> creating model 'resnet50'
=> loading checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar'
=> loaded checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar' (epoch 15)
Use GPU: 3 for training
=> creating model 'resnet50'
=> loading checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar'
=> loaded checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar' (epoch 15)
Use GPU: 1 for training
=> creating model 'resnet50'
=> loading checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar'
=> loaded checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar' (epoch 15)
Epoch: [15][ 240/5005]	Time  2.124 ( 2.039)	Data  1.850 ( 1.751)	Loss 2.4672e+00 (2.5233e+00)	Acc@1  48.44 ( 44.50)	Acc@5  70.31 ( 69.83)
Epoch: [15][ 250/5005]	Time  2.262 ( 2.040)	Data  1.996 ( 1.753)	Loss 2.5126e+00 (2.5228e+00)	Acc@1  43.75 ( 44.40)	Acc@5  75.00 ( 69.82)
Epoch: [15][ 260/5005]	Time  2.575 ( 2.047)	Data  2.309 ( 1.761)	Loss 2.5870e+00 (2.5230e+00)	Acc@1  42.19 ( 44.37)	Acc@5  64.06 ( 69.79)
Epoch: [15][ 270/5005]	Time  2.104 ( 2.053)	Data  1.834 ( 1.767)	Loss 2.5906e+00 (2.5236e+00)	Acc@1  45.31 ( 44.38)	Acc@5  68.75 ( 69.80)
Epoch: [15][ 280/5005]	Time  2.154 ( 2.059)	Data  1.886 ( 1.774)	Loss 2.2873e+00 (2.5225e+00)	Acc@1  51.56 ( 44.38)	Acc@5  70.31 ( 69.79)
Epoch: [15][ 290/5005]	Time  1.856 ( 2.057)	Data  1.575 ( 1.772)	Loss 2.2904e+00 (2.5241e+00)	Acc@1  48.44 ( 44.43)	Acc@5  70.31 ( 69.71)
Epoch: [15][ 300/5005]	Time  1.893 ( 2.052)	Data  1.613 ( 1.767)	Loss 2.6373e+00 (2.5278e+00)	Acc@1  39.06 ( 44.31)	Acc@5  71.88 ( 69.61)
Epoch: [15][ 310/5005]	Time  1.770 ( 2.048)	Data  1.498 ( 1.763)	Loss 2.5014e+00 (2.5317e+00)	Acc@1  48.44 ( 44.29)	Acc@5  65.62 ( 69.53)
Epoch: [15][ 320/5005]	Time  2.072 ( 2.046)	Data  1.788 ( 1.761)	Loss 2.4343e+00 (2.5312e+00)	Acc@1  48.44 ( 44.38)	Acc@5  70.31 ( 69.50)
Epoch: [15][ 330/5005]	Time  2.029 ( 2.042)	Data  1.749 ( 1.758)	Loss 2.0460e+00 (2.5349e+00)	Acc@1  51.56 ( 44.35)	Acc@5  78.12 ( 69.49)
